,,
,,
GISP2 Ice Core,,
Mid Depth Below Surface (m),Methane Concentration (ppb),Meese/Sowers Gas Age (ka)
95.98,910.7,0.03
99.24,894.0,0.05
104.05,853.6,0.07
107.05,839.6,0.08
107.30,829.5,0.08
109.56,826.9,0.09
111.70,819.7,0.10
116.28,789.2,0.12
119.95,788.2,0.13
123.88,779.9,0.15
128.95,771.0,0.17
129.06,764.8,0.17
133.90,747.0,0.19
143.05,729.8,0.23
152.49,738.1,0.27
154.15,733.9,0.28
175.30,770.4,0.37
198.39,720.2,0.46
201.05,728.7,0.48
212.05,730.8,0.53
221.76,720.3,0.57
235.05,738.6,0.63
244.05,725.8,0.67
246.16,721.0,0.68
266.81,743.0,0.79
289.07,730.9,0.88
308.70,711.9,0.95
335.05,698.8,1.07
359.74,689.4,1.19
379.05,687.4,1.27
397.30,693.1,1.36
418.95,673.7,1.47
436.30,683.2,1.56
458.05,685.7,1.67
478.65,683.3,1.78
498.05,680.5,1.88
517.35,666.6,1.97
536.05,651.8,2.06
555.15,656.9,2.17
574.15,645.9,2.27
593.70,658.0,2.37
612.63,648.6,2.47
629.30,643.4,2.57
648.90,639.6,2.66
666.95,644.5,2.76
685.94,635.4,2.88
702.95,626.5,2.97
719.05,626.6,3.07
736.22,648.3,3.17
750.75,629.6,3.26
767.05,651.6,3.35
785.05,630.1,3.46
802.95,623.5,3.57
819.74,680.7,3.67
835.70,645.7,3.76
851.05,658.1,3.86
867.07,644.2,3.97
885.05,609.8,4.08
901.46,620.3,4.18
915.06,640.1,4.27
932.71,663.6,4.39
944.35,630.1,4.46
962.70,616.5,4.58
977.95,641.5,4.68
992.28,679.2,4.78
1005.05,642.5,4.87
1018.95,643.8,4.97
1033.95,610.1,5.07
1047.71,606.8,5.17
1060.08,608.8,5.26
1077.27,629.2,5.39
1089.95,602.7,5.48
1100.95,612.2,5.57
1114.91,605.7,5.68
1130.31,629.2,5.80
1140.95,631.3,5.88
1151.11,624.4,5.96
1165.68,596.5,6.07
1177.26,641.4,6.17
1190.95,636.5,6.27
1202.94,653.9,6.36
1215.95,620.2,6.47
1227.95,631.3,6.57
1239.95,649.6,6.68
1246.86,625.0,6.73
1261.95,646.9,6.86
1272.70,656.5,6.94
1287.95,669.8,7.07
1300.30,666.9,7.19
1311.75,650.6,7.28
1320.36,652.5,7.36
1333.95,673.2,7.48
1344.70,677.2,7.58
1355.25,668.2,7.67
1364.05,663.3,7.75
1365.85,653.6,7.76
1366.05,655.2,7.76
1368.05,658.3,7.78
1372.05,652.0,7.82
1374.05,650.6,7.84
1376.50,661.9,7.86
1378.15,658.6,7.88
1380.44,650.9,7.89
1384.05,665.2,7.93
1386.05,667.3,7.95
1388.05,667.7,7.96
1389.70,677.6,7.98
1390.05,661.0,7.98
1392.05,684.0,8.00
1394.05,678.1,8.01
1395.25,676.9,8.03
1396.05,671.3,8.03
1398.05,681.4,8.05
1401.80,665.4,8.09
1402.05,663.8,8.09
1402.80,661.2,8.10
1403.70,672.3,8.11
1405.15,654.8,8.12
1406.05,656.5,8.13
1406.19,660.6,8.13
1407.05,650.7,8.14
1408.05,629.1,8.15
1408.81,616.8,8.15
1409.70,611.6,8.16
1410.10,626.8,8.16
1410.60,615.9,8.17
1411.21,617.2,8.17
1411.25,611.3,8.17
1411.60,611.0,8.18
1412.10,603.9,8.18
1412.60,603.8,8.19
1413.10,589.0,8.19
1413.25,605.6,8.19
1413.73,585.6,8.20
1414.10,591.4,8.20
1414.60,589.4,8.20
1415.30,602.0,8.21
1415.65,610.1,8.21
1416.10,620.8,8.22
1416.25,625.4,8.22
1416.60,629.5,8.22
1417.10,642.7,8.23
1417.60,643.7,8.23
1418.10,651.7,8.24
1418.60,663.5,8.25
1419.10,664.7,8.25
1419.60,674.3,8.26
1420.10,663.8,8.26
1420.65,659.6,8.27
1421.08,668.8,8.27
1421.60,663.7,8.28
1422.10,661.5,8.29
1422.60,669.8,8.29
1423.09,673.4,8.30
1423.60,673.8,8.30
1424.34,672.7,8.31
1424.80,669.3,8.32
1426.05,672.8,8.33
1426.15,673.3,8.33
1428.05,662.0,8.35
1430.05,665.6,8.37
1432.05,671.6,8.38
1432.80,677.6,8.39
1436.38,669.9,8.43
1438.05,687.8,8.44
1442.05,673.7,8.48
1442.15,675.9,8.49
1446.05,677.3,8.52
1448.05,690.9,8.54
1450.05,691.4,8.56
1452.05,711.1,8.58
1453.70,682.2,8.59
1456.05,706.3,8.62
1458.05,715.6,8.64
1460.05,703.9,8.66
1460.15,701.1,8.66
1470.90,690.4,8.77
1475.20,697.5,8.81
1481.35,719.0,8.87
1492.72,703.8,8.98
1495.20,704.2,9.01
1502.05,716.3,9.08
1512.70,717.7,9.19
1521.17,719.6,9.28
1529.70,727.5,9.38
1534.10,724.7,9.43
1538.05,714.3,9.47
1546.70,735.7,9.57
1555.05,741.5,9.67
1564.90,735.4,9.78
1573.05,748.7,9.88
1581.30,742.1,9.98
1589.17,754.8,10.07
1595.22,728.7,10.15
1597.30,739.6,10.17
1602.10,725.1,10.23
1606.15,762.1,10.29
1608.20,744.9,10.31
1614.70,758.3,10.40
1621.19,747.8,10.48
1628.32,750.7,10.57
1629.70,756.3,10.59
1635.20,757.8,10.67
1635.95,754.5,10.68
1644.90,729.5,10.81
1651.20,720.0,10.90
1655.27,740.6,10.96
1657.90,728.3,11.01
1662.22,738.7,11.07
1663.95,735.4,11.11
1668.33,739.6,11.17
1669.70,741.6,11.19
1674.95,756.7,11.27
1685.21,726.0,11.50
1686.17,740.5,11.53
1688.32,741.2,11.58
1691.35,765.8,11.64
1695.35,775.8,11.71